STOP_ID,HASTUS_CROSS_STREET_NAME,lat,lon,ROUTE_NUM
41902,null,null,null,9E
41904,null,null,null,43
41904,null,null,null,96N
41904,null,null,null,9E
41908,null,null,null,43
41908,null,null,null,96N
41908,null,null,null,9E
41930,null,null,null,60
41940,null,null,null,303
41940,null,null,null,322
41940,null,null,null,60
41950,null,null,null,303
41950,null,null,null,322
41950,null,null,null,60
61190,null,null,null,A
61201,null,null,null,A
61220,null,null,null,A
61230,null,null,null,A
61240,null,null,null,A
61243,null,null,null,A
5830,null,null,null,5
5840,null,null,null,5
5860,null,null,null,5
5875,null,null,null,5
5880,null,null,null,5
32120,null,null,null,132
32120,null,null,null,60
32120,null,null,null,987E
32140,null,null,null,132
32140,null,null,null,60
32150,null,null,null,60
41955,null,null,null,193E
41955,null,null,null,303
41955,null,null,null,322
41965,null,null,null,43
41965,null,null,null,60
41965,null,null,null,9E
41970,null,null,null,43
41970,null,null,null,60
41970,null,null,null,96N
41970,null,null,null,9E
62079,null,null,null,168
62081,null,null,null,168
62083,null,null,null,168
62085,null,null,null,168
62089,null,null,null,168
62094,null,null,null,168
7630,null,null,null,E
7670,null,null,null,E
9150,null,null,null,70
9190,null,null,null,70
35940,null,null,null,48
35960,null,null,null,50
46025,null,null,null,124
46025,null,null,null,60
46040,null,null,null,107
46061,null,null,null,107
46080,null,null,null,107
63814,null,null,null,930
63820,null,null,null,269
9220,null,null,null,70
10564,null,null,null,75
10566,null,null,null,75
10568,null,null,null,75
10580,null,null,null,75
10580,null,null,null,79
35979,null,null,null,50
35990,null,null,null,50
37550,null,null,null,79
37560,null,null,null,79
37570,null,null,null,79
37571,null,null,null,79
37600,null,null,null,79
46092,null,null,null,36
46101,null,null,null,36
47403,null,null,null,156
47403,null,null,null,635
47404,null,null,null,156
47404,null,null,null,635
47405,null,null,null,156
47405,null,null,null,635
47406,null,null,null,156
47406,null,null,null,635
47407,null,null,null,156
47407,null,null,null,635
47410,null,null,null,165
47410,null,null,null,635
