STOP_ID,HASTUS_CROSS_STREET_NAME,XCOORD,YCOORD,ROUTE_LIST,lon,lat
76940,Hall Rd,1301335.5,279032.3,null,-122.21193546851171,47.756629941902496
77985,113th Ave NE,1306578.1,280159.8,null,-122.19070593340086,47.75997593524235
77986,113th Ave NE,1306575.0,280169.7,null,-122.19071924516832,47.76000292169658
77987,Campus Way NE,1306815.2,279193.5,null,-122.18967285599132,47.75733872274
77988,NE 180th St,1306577.1,279176.0,null,-122.19063945516133,47.757279246491876
77989,NE 180th St,1306676.3,279642.7,null,-122.19026967084285,47.75856328810165
77990,182nd Ave NE,1329306.8,280258.7,null,-122.09831592405205,47.76130860769458
77991,NE 180th St,1306447.0,280574.9,null,-122.19126864801792,47.761107402675876
80790,E George St,1294200.6,145391.7,null,-122.23107002091373,47.38996280159032
80800,E James St,1294009.3,144156.4,null,-122.23175154985715,47.38656727979482
80810,2nd Ave N,1293320.9,144194.2,null,-122.23453272892276,47.386636564543586
80820,4th Ave N,1292432.5,144216.4,null,-122.23811997275055,47.38665301570528
81177,2nd Ave S,1287231.0,104706.3,null,-122.25616468220872,47.27809341853344
81178,Warde St,1288785.1,104875.7,null,-122.2499178675426,47.27863633762979
81179,Algona Blvd S,1287348.6,105075.8,null,-122.25571854063332,47.279112175931
81180,1st Ave S,1288485.0,105170.3,null,-122.25114844143694,47.279428686209634
81181,5th Ave S,1287388.7,103075.0,null,-122.25540809636031,47.27363002340638
81182,2nd Ave N,1288250.1,105719.2,null,-122.25213532510561,47.280921352896556
81183,4th Ave S,1287701.4,103734.4,null,-122.25419779443348,47.27545326950748
81184,4th Ave N,1287966.5,106381.1,null,-122.2533268272894,47.28272128079147
81185,2nd Ave S,1288043.3,104457.5,null,-122.25287453568426,47.27745258104997
81186,5th Ave N,1287759.6,106859.6,null,-122.25419581138756,47.284022379803716
74478,140th Ave NE,1315089.1,231845.8,null,-122.15273983893323,47.62794981020432
74480,140th Ave NE,1315793.8,231824.6,null,-122.14988092768085,47.62792478417961
74482,NE 20th St,1317472.1,231949.2,null,-122.14308429478947,47.62834482993562
74487,Bellevue Base AcRd,1309577.9,231590.5,null,-122.17506865564654,47.6269887948999
74488,NE Spring Blvd,1308417.6,230451.0,null,-122.17969251769178,47.6238097925574
74510,Lake Washington Blvd NE,1303485.2,237479.7,null,-122.20019696739054,47.64283753689043
74512,NE 12th St,1305619.0,229623.9,null,-122.19098019697901,47.62140787358513
74514,NE 14th St,1305635.1,230389.6,null,-122.19096969458263,47.62350748358922
74516,SR 520 Ramp,1305032.1,235424.4,null,-122.19377543065346,47.63727898430966
75240,1st Ave NE,1272533.6,271347.3,null,-122.32840008817038,47.73409123257307
75245,Boeing Access Rd,1290001.2,342845.7,null,-122.26282566967274,47.93097534794131
75246,Perimeter Rd,1286497.6,336788.5,null,-122.27665161625734,47.914193579827405
75247,Unnamed,1286636.6,337629.8,null,-122.27614920942328,47.916506687095115
